"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"","","rtbappnexus","A23","7735.0","11.0","0.0","1261.8146575","386.756900611","25.23629315","114.71042340909092"
"JP_Townwork_Mobile","CPC","rtb-google-auto","A23","303352.0","290.0","51.0","37953.005465916","22065.218236464003","27.54589200681952","161.5709044951724"
"","","Adstir","A23","68001.0","71.0","17.0","8683.808744646","3469.2422763199997","24.588879671100916","150.99650051549295"
"JP_TravelJP","CPC","rtbFB-XNF","A23","6.0","0.0","0.0","0.0","1.070583675","NaN","NaN"
"","","rtbFBX","A23","38.0","0.0","0.0","15.880041445","0.57280272","18.6824017","Infinity"
"JP_WEGO","CPC","rtbFBX","A23","1.0","0.0","0.0","0.0","0.05240403","NaN","NaN"
"JP_Zutto","CPC","rtbFBX","A23","3.0","0.0","0.0","0.0","0.03493602","NaN","NaN"
"JP_benesse","CPC","rtbFB-XNF","A23","4.0","0.0","0.0","0.0","2.60520813","NaN","NaN"
"","","rtbFBX","A23","9.0","0.0","0.0","0.0","0.316975785","NaN","NaN"
"JP_etour","CPC","rtbFBX","A23","35.0","0.0","0.0","0.0","0.6393171750000001","NaN","NaN"
"JP_sheltter","CPC","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","0.1283226","NaN","NaN"
"","","rtbFBX","A23","42.0","0.0","0.0","0.0","2.185515465","NaN","NaN"
"Kokuken-Travel-Japan","CPA","rtbFBX","A23","15.0","0.0","0.0","0.0","0.16258693500000002","NaN","NaN"
"KR_2001outlet","CPC","rtbFBX","A23","6.0","0.0","0.0","0.0","0.286878375","NaN","NaN"
